file_name,model_type,prompt_detail,temp,completion_id,compiled,correct
completions_gpt3.5/completion_L_t0.3_65.c,gpt3.5,L,0.3,65,1,1
completions_gpt3.5/completion_L_t0.3_66.c,gpt3.5,L,0.3,66,1,1
completions_gpt3.5/completion_L_t0.3_67.c,gpt3.5,L,0.3,67,0,0
completions_gpt3.5/completion_L_t0.3_68.c,gpt3.5,L,0.3,68,1,1
completions_gpt3.5/completion_L_t0.3_69.c,gpt3.5,L,0.3,69,1,1
completions_gpt3.5/completion_L_t0.3_70.c,gpt3.5,L,0.3,70,1,1
completions_gpt3.5/completion_L_t0.3_71.c,gpt3.5,L,0.3,71,1,1
completions_gpt3.5/completion_L_t0.3_72.c,gpt3.5,L,0.3,72,1,1
completions_gpt3.5/completion_L_t0.3_73.c,gpt3.5,L,0.3,73,1,1
completions_gpt3.5/completion_L_t0.3_74.c,gpt3.5,L,0.3,74,1,1
completions_gpt3.5/completion_L_t0.3_75.c,gpt3.5,L,0.3,75,1,1
completions_gpt3.5/completion_L_t0.3_76.c,gpt3.5,L,0.3,76,1,1
completions_gpt3.5/completion_L_t0.3_77.c,gpt3.5,L,0.3,77,1,1
completions_gpt3.5/completion_L_t0.3_78.c,gpt3.5,L,0.3,78,1,1
completions_gpt3.5/completion_L_t0.3_79.c,gpt3.5,L,0.3,79,1,1
completions_gpt3.5/completion_L_t0.3_80.c,gpt3.5,L,0.3,80,1,1
completions_gpt3.5/completion_L_t0.3_81.c,gpt3.5,L,0.3,81,1,1
completions_gpt3.5/completion_L_t0.3_82.c,gpt3.5,L,0.3,82,1,1
completions_gpt3.5/completion_L_t0.3_83.c,gpt3.5,L,0.3,83,1,1
completions_gpt3.5/completion_L_t0.3_84.c,gpt3.5,L,0.3,84,1,1
completions_gpt3.5/completion_L_t0.3_85.c,gpt3.5,L,0.3,85,1,1
completions_gpt3.5/completion_L_t0.3_86.c,gpt3.5,L,0.3,86,1,1
completions_gpt3.5/completion_L_t0.3_87.c,gpt3.5,L,0.3,87,1,1
completions_gpt3.5/completion_L_t0.3_88.c,gpt3.5,L,0.3,88,1,1
completions_gpt3.5/completion_L_t0.3_89.c,gpt3.5,L,0.3,89,0,0
completions_gpt3.5/completion_L_t0.3_90.c,gpt3.5,L,0.3,90,1,1
completions_gpt3.5/completion_L_t0.3_91.c,gpt3.5,L,0.3,91,1,1
completions_gpt3.5/completion_L_t0.3_92.c,gpt3.5,L,0.3,92,0,0
completions_gpt3.5/completion_L_t0.3_93.c,gpt3.5,L,0.3,93,1,1
completions_gpt3.5/completion_L_t0.3_94.c,gpt3.5,L,0.3,94,1,1
completions_gpt3.5/completion_L_t0.3_95.c,gpt3.5,L,0.3,95,1,1
completions_gpt3.5/completion_L_t0.3_96.c,gpt3.5,L,0.3,96,1,1
completions_gpt3.5/completion_L_t0.3_97.c,gpt3.5,L,0.3,97,1,1
completions_gpt3.5/completion_L_t0.3_98.c,gpt3.5,L,0.3,98,1,1
completions_gpt3.5/completion_L_t0.3_99.c,gpt3.5,L,0.3,99,1,1
completions_gpt3.5/completion_L_t0.5_0.c,gpt3.5,L,0.5,0,1,1
completions_gpt3.5/completion_L_t0.5_1.c,gpt3.5,L,0.5,1,1,1
completions_gpt3.5/completion_L_t0.5_2.c,gpt3.5,L,0.5,2,1,1
completions_gpt3.5/completion_L_t0.5_3.c,gpt3.5,L,0.5,3,1,1
completions_gpt3.5/completion_L_t0.5_4.c,gpt3.5,L,0.5,4,1,1
completions_gpt3.5/completion_L_t0.5_5.c,gpt3.5,L,0.5,5,1,1
completions_gpt3.5/completion_L_t0.5_6.c,gpt3.5,L,0.5,6,1,1
completions_gpt3.5/completion_L_t0.5_7.c,gpt3.5,L,0.5,7,1,1
completions_gpt3.5/completion_L_t0.5_8.c,gpt3.5,L,0.5,8,1,1
completions_gpt3.5/completion_L_t0.5_9.c,gpt3.5,L,0.5,9,1,1
completions_gpt3.5/completion_L_t0.5_10.c,gpt3.5,L,0.5,10,1,1
completions_gpt3.5/completion_L_t0.5_11.c,gpt3.5,L,0.5,11,1,1
completions_gpt3.5/completion_L_t0.5_12.c,gpt3.5,L,0.5,12,1,1
completions_gpt3.5/completion_L_t0.5_13.c,gpt3.5,L,0.5,13,1,1
completions_gpt3.5/completion_L_t0.5_14.c,gpt3.5,L,0.5,14,1,1
completions_gpt3.5/completion_L_t0.5_15.c,gpt3.5,L,0.5,15,1,1
completions_gpt3.5/completion_L_t0.5_16.c,gpt3.5,L,0.5,16,1,1
completions_gpt3.5/completion_L_t0.5_17.c,gpt3.5,L,0.5,17,1,1
completions_gpt3.5/completion_L_t0.5_18.c,gpt3.5,L,0.5,18,1,1
completions_gpt3.5/completion_L_t0.5_19.c,gpt3.5,L,0.5,19,1,1
completions_gpt3.5/completion_L_t0.5_20.c,gpt3.5,L,0.5,20,1,1
completions_gpt3.5/completion_L_t0.5_21.c,gpt3.5,L,0.5,21,1,1
completions_gpt3.5/completion_L_t0.5_22.c,gpt3.5,L,0.5,22,1,1
completions_gpt3.5/completion_L_t0.5_23.c,gpt3.5,L,0.5,23,1,1
completions_gpt3.5/completion_L_t0.5_24.c,gpt3.5,L,0.5,24,1,1
completions_gpt3.5/completion_L_t0.5_25.c,gpt3.5,L,0.5,25,1,1
completions_gpt3.5/completion_L_t0.5_26.c,gpt3.5,L,0.5,26,1,1
completions_gpt3.5/completion_L_t0.5_27.c,gpt3.5,L,0.5,27,1,1
completions_gpt3.5/completion_L_t0.5_28.c,gpt3.5,L,0.5,28,1,1
completions_gpt3.5/completion_L_t0.5_29.c,gpt3.5,L,0.5,29,1,1
completions_gpt3.5/completion_L_t0.5_30.c,gpt3.5,L,0.5,30,1,1
completions_gpt3.5/completion_L_t0.5_31.c,gpt3.5,L,0.5,31,1,1
completions_gpt3.5/completion_L_t0.5_32.c,gpt3.5,L,0.5,32,1,1
completions_gpt3.5/completion_L_t0.5_33.c,gpt3.5,L,0.5,33,1,1
completions_gpt3.5/completion_L_t0.5_34.c,gpt3.5,L,0.5,34,1,1
completions_gpt3.5/completion_L_t0.5_35.c,gpt3.5,L,0.5,35,1,1
completions_gpt3.5/completion_L_t0.5_36.c,gpt3.5,L,0.5,36,1,1
completions_gpt3.5/completion_L_t0.5_37.c,gpt3.5,L,0.5,37,1,1
completions_gpt3.5/completion_L_t0.5_38.c,gpt3.5,L,0.5,38,1,0
completions_gpt3.5/completion_L_t0.5_39.c,gpt3.5,L,0.5,39,1,1
completions_gpt3.5/completion_L_t0.5_40.c,gpt3.5,L,0.5,40,1,0
completions_gpt3.5/completion_L_t0.5_41.c,gpt3.5,L,0.5,41,1,1
completions_gpt3.5/completion_L_t0.5_42.c,gpt3.5,L,0.5,42,1,1
completions_gpt3.5/completion_L_t0.5_43.c,gpt3.5,L,0.5,43,1,1
completions_gpt3.5/completion_L_t0.5_44.c,gpt3.5,L,0.5,44,1,1
completions_gpt3.5/completion_L_t0.5_45.c,gpt3.5,L,0.5,45,1,1
completions_gpt3.5/completion_L_t0.5_46.c,gpt3.5,L,0.5,46,1,1
completions_gpt3.5/completion_L_t0.5_47.c,gpt3.5,L,0.5,47,1,1
completions_gpt3.5/completion_L_t0.5_48.c,gpt3.5,L,0.5,48,1,1
completions_gpt3.5/completion_L_t0.5_49.c,gpt3.5,L,0.5,49,1,1
completions_gpt3.5/completion_L_t0.5_50.c,gpt3.5,L,0.5,50,1,1
completions_gpt3.5/completion_L_t0.5_51.c,gpt3.5,L,0.5,51,1,1
completions_gpt3.5/completion_L_t0.5_52.c,gpt3.5,L,0.5,52,1,1
completions_gpt3.5/completion_L_t0.5_53.c,gpt3.5,L,0.5,53,1,1
completions_gpt3.5/completion_L_t0.5_54.c,gpt3.5,L,0.5,54,1,1
completions_gpt3.5/completion_L_t0.5_55.c,gpt3.5,L,0.5,55,1,1
completions_gpt3.5/completion_L_t0.5_56.c,gpt3.5,L,0.5,56,1,1
completions_gpt3.5/completion_L_t0.5_57.c,gpt3.5,L,0.5,57,1,1
completions_gpt3.5/completion_L_t0.5_58.c,gpt3.5,L,0.5,58,1,1
completions_gpt3.5/completion_L_t0.5_59.c,gpt3.5,L,0.5,59,1,1
completions_gpt3.5/completion_L_t0.5_60.c,gpt3.5,L,0.5,60,1,1
completions_gpt3.5/completion_L_t0.5_61.c,gpt3.5,L,0.5,61,1,1
completions_gpt3.5/completion_L_t0.5_62.c,gpt3.5,L,0.5,62,1,1
completions_gpt3.5/completion_L_t0.5_63.c,gpt3.5,L,0.5,63,1,1
completions_gpt3.5/completion_L_t0.5_64.c,gpt3.5,L,0.5,64,1,1
completions_gpt3.5/completion_L_t0.5_65.c,gpt3.5,L,0.5,65,1,1
completions_gpt3.5/completion_L_t0.5_66.c,gpt3.5,L,0.5,66,1,1
completions_gpt3.5/completion_L_t0.5_67.c,gpt3.5,L,0.5,67,1,1
completions_gpt3.5/completion_L_t0.5_68.c,gpt3.5,L,0.5,68,1,1
completions_gpt3.5/completion_L_t0.5_69.c,gpt3.5,L,0.5,69,1,1
completions_gpt3.5/completion_L_t0.5_70.c,gpt3.5,L,0.5,70,1,1
completions_gpt3.5/completion_L_t0.5_71.c,gpt3.5,L,0.5,71,1,1
completions_gpt3.5/completion_L_t0.5_72.c,gpt3.5,L,0.5,72,1,1
completions_gpt3.5/completion_L_t0.5_73.c,gpt3.5,L,0.5,73,1,1
completions_gpt3.5/completion_L_t0.5_74.c,gpt3.5,L,0.5,74,1,0
completions_gpt3.5/completion_L_t0.5_75.c,gpt3.5,L,0.5,75,1,1
completions_gpt3.5/completion_L_t0.5_76.c,gpt3.5,L,0.5,76,1,1
completions_gpt3.5/completion_L_t0.5_77.c,gpt3.5,L,0.5,77,1,1
completions_gpt3.5/completion_L_t0.5_78.c,gpt3.5,L,0.5,78,1,1
completions_gpt3.5/completion_L_t0.5_79.c,gpt3.5,L,0.5,79,1,1
completions_gpt3.5/completion_L_t0.5_80.c,gpt3.5,L,0.5,80,1,1
completions_gpt3.5/completion_L_t0.5_81.c,gpt3.5,L,0.5,81,1,1
completions_gpt3.5/completion_L_t0.5_82.c,gpt3.5,L,0.5,82,1,1
completions_gpt3.5/completion_L_t0.5_83.c,gpt3.5,L,0.5,83,1,1
completions_gpt3.5/completion_L_t0.5_84.c,gpt3.5,L,0.5,84,1,1
completions_gpt3.5/completion_L_t0.5_85.c,gpt3.5,L,0.5,85,1,1
completions_gpt3.5/completion_L_t0.5_86.c,gpt3.5,L,0.5,86,0,0
completions_gpt3.5/completion_L_t0.5_87.c,gpt3.5,L,0.5,87,1,1
completions_gpt3.5/completion_L_t0.5_88.c,gpt3.5,L,0.5,88,1,1
completions_gpt3.5/completion_L_t0.5_89.c,gpt3.5,L,0.5,89,1,1
completions_gpt3.5/completion_L_t0.5_90.c,gpt3.5,L,0.5,90,1,0
completions_gpt3.5/completion_L_t0.5_91.c,gpt3.5,L,0.5,91,1,1
completions_gpt3.5/completion_L_t0.5_92.c,gpt3.5,L,0.5,92,1,1
completions_gpt3.5/completion_L_t0.5_93.c,gpt3.5,L,0.5,93,1,1
completions_gpt3.5/completion_L_t0.5_94.c,gpt3.5,L,0.5,94,1,0
completions_gpt3.5/completion_L_t0.5_95.c,gpt3.5,L,0.5,95,1,1
completions_gpt3.5/completion_L_t0.5_96.c,gpt3.5,L,0.5,96,1,1
completions_gpt3.5/completion_L_t0.5_97.c,gpt3.5,L,0.5,97,1,1
completions_gpt3.5/completion_L_t0.5_98.c,gpt3.5,L,0.5,98,1,1
completions_gpt3.5/completion_L_t0.5_99.c,gpt3.5,L,0.5,99,1,1
completions_gpt3.5/completion_L_t0.7_0.c,gpt3.5,L,0.7,0,1,1
completions_gpt3.5/completion_L_t0.7_1.c,gpt3.5,L,0.7,1,1,1
completions_gpt3.5/completion_L_t0.7_2.c,gpt3.5,L,0.7,2,1,1
completions_gpt3.5/completion_L_t0.7_3.c,gpt3.5,L,0.7,3,1,1
completions_gpt3.5/completion_L_t0.7_4.c,gpt3.5,L,0.7,4,1,1
completions_gpt3.5/completion_L_t0.7_5.c,gpt3.5,L,0.7,5,1,1
completions_gpt3.5/completion_L_t0.7_6.c,gpt3.5,L,0.7,6,1,1
completions_gpt3.5/completion_L_t0.7_7.c,gpt3.5,L,0.7,7,1,1
completions_gpt3.5/completion_L_t0.7_8.c,gpt3.5,L,0.7,8,1,0
completions_gpt3.5/completion_L_t0.7_9.c,gpt3.5,L,0.7,9,1,1
completions_gpt3.5/completion_L_t0.7_10.c,gpt3.5,L,0.7,10,1,1
completions_gpt3.5/completion_L_t0.7_11.c,gpt3.5,L,0.7,11,1,1
completions_gpt3.5/completion_L_t0.7_12.c,gpt3.5,L,0.7,12,1,1
completions_gpt3.5/completion_L_t0.7_13.c,gpt3.5,L,0.7,13,1,1
completions_gpt3.5/completion_L_t0.7_14.c,gpt3.5,L,0.7,14,1,1
completions_gpt3.5/completion_L_t0.7_15.c,gpt3.5,L,0.7,15,1,1
completions_gpt3.5/completion_L_t0.7_16.c,gpt3.5,L,0.7,16,1,1
completions_gpt3.5/completion_L_t0.7_17.c,gpt3.5,L,0.7,17,1,1
completions_gpt3.5/completion_L_t0.7_18.c,gpt3.5,L,0.7,18,1,1
completions_gpt3.5/completion_L_t0.7_19.c,gpt3.5,L,0.7,19,1,1
completions_gpt3.5/completion_L_t0.7_20.c,gpt3.5,L,0.7,20,1,1
completions_gpt3.5/completion_L_t0.7_21.c,gpt3.5,L,0.7,21,1,1
completions_gpt3.5/completion_L_t0.7_22.c,gpt3.5,L,0.7,22,1,1
completions_gpt3.5/completion_L_t0.7_23.c,gpt3.5,L,0.7,23,1,1
